Id;EDT;Nombre;Comienzo;Fin;Duracion;Programado;Real;Nivel_de_esquema
265;1.1.1.2.1.3.3.2.1.5.7;Hormigon Escala;10-12-21;10-12-21;1 día;100;100;11
266;1.1.1.2.1.3.3.2.1.5.8;Descimbre Escala;13-12-21;13-12-21;1 día;100;100;11
267;1.1.1.2.1.3.3.2.1.6;Sector 6;10-12-21;16-12-21;5 días;100;100;10
268;1.1.1.2.1.3.3.2.1.6.1;Enfierradura;10-12-21;14-12-21;3 días;100;100;11
269;1.1.1.2.1.3.3.2.1.6.2;Moldaje;14-12-21;15-12-21;2 días;100;100;11
270;1.1.1.2.1.3.3.2.1.6.3;Hormigon;15-12-21;15-12-21;1 día;100;100;11
271;1.1.1.2.1.3.3.2.1.6.4;Descimbre;16-12-21;16-12-21;1 día;100;100;11
272;1.1.1.2.1.3.3.2.1.7;Sector 7;15-12-21;21-12-21;5 días;100;100;10
273;1.1.1.2.1.3.3.2.1.7.1;Enfierradura;15-12-21;17-12-21;3 días;100;100;11
274;1.1.1.2.1.3.3.2.1.7.2;Moldaje;17-12-21;20-12-21;2 días;100;100;11
275;1.1.1.2.1.3.3.2.1.7.3;Hormigon;20-12-21;20-12-21;1 día;100;100;11
276;1.1.1.2.1.3.3.2.1.7.4;Descimbre;21-12-21;21-12-21;1 día;100;100;11
277;1.1.1.2.1.3.3.2.1.8;Sector 8;20-12-21;24-12-21;5 días;100;100;10
278;1.1.1.2.1.3.3.2.1.8.1;Enfierradura;20-12-21;22-12-21;3 días;100;100;11
279;1.1.1.2.1.3.3.2.1.8.2;Moldaje;22-12-21;23-12-21;2 días;100;100;11
280;1.1.1.2.1.3.3.2.1.8.3;Hormigon;23-12-21;23-12-21;1 día;100;100;11
281;1.1.1.2.1.3.3.2.1.8.4;Descimbre;24-12-21;24-12-21;1 día;100;100;11
282;1.1.1.2.1.3.3.2.2;Losa ;24-11-21;31-12-21;27 días;100;100;9
283;1.1.1.2.1.3.3.2.2.1;Sector 1;24-11-21;01-12-21;6 días;100;100;10
284;1.1.1.2.1.3.3.2.2.1.1;Moldaje;24-11-21;26-11-21;3 días;100;100;11
285;1.1.1.2.1.3.3.2.2.1.2;Enfierradura;29-11-21;30-11-21;2 días;100;100;11
286;1.1.1.2.1.3.3.2.2.1.3;Hormigon;30-11-21;30-11-21;1 día;100;100;11
287;1.1.1.2.1.3.3.2.2.1.4;Descimbre;01-12-21;01-12-21;1 día;100;100;11
288;1.1.1.2.1.3.3.2.2.2;Sector 2;29-11-21;06-12-21;6 días;100;100;10
289;1.1.1.2.1.3.3.2.2.2.1;Moldaje;29-11-21;01-12-21;3 días;100;100;11
290;1.1.1.2.1.3.3.2.2.2.2;Enfierradura;02-12-21;03-12-21;2 días;100;100;11
291;1.1.1.2.1.3.3.2.2.2.3;Hormigon;03-12-21;03-12-21;1 día;100;100;11
292;1.1.1.2.1.3.3.2.2.2.4;Descimbre;06-12-21;06-12-21;1 día;100;100;11
293;1.1.1.2.1.3.3.2.2.3;Sector 3;02-12-21;10-12-21;6 días;100;100;10
294;1.1.1.2.1.3.3.2.2.3.1;Moldaje;02-12-21;06-12-21;3 días;100;100;11
295;1.1.1.2.1.3.3.2.2.3.2;Enfierradura;07-12-21;09-12-21;2 días;100;100;11
296;1.1.1.2.1.3.3.2.2.3.3;Hormigon;09-12-21;09-12-21;1 día;100;100;11
297;1.1.1.2.1.3.3.2.2.3.4;Descimbre;10-12-21;10-12-21;1 día;100;100;11
298;1.1.1.2.1.3.3.2.2.4;Sector 4;07-12-21;15-12-21;6 días;100;100;10
299;1.1.1.2.1.3.3.2.2.4.1;Moldaje;07-12-21;10-12-21;3 días;100;100;11
300;1.1.1.2.1.3.3.2.2.4.2;Enfierradura;13-12-21;14-12-21;2 días;100;100;11
301;1.1.1.2.1.3.3.2.2.4.3;Hormigon;14-12-21;14-12-21;1 día;100;100;11
302;1.1.1.2.1.3.3.2.2.4.4;Descimbre;15-12-21;15-12-21;1 día;100;100;11
303;1.1.1.2.1.3.3.2.2.5;Sector 5;24-12-21;31-12-21;6 días;100;100;10
304;1.1.1.2.1.3.3.2.2.5.1;Moldaje;24-12-21;28-12-21;3 días;100;100;11
305;1.1.1.2.1.3.3.2.2.5.2;Enfierradura;29-12-21;30-12-21;2 días;100;100;11
306;1.1.1.2.1.3.3.2.2.5.3;Hormigon;30-12-21;30-12-21;1 día;100;100;11
307;1.1.1.2.1.3.3.2.2.5.4;Descimbre;31-12-21;31-12-21;1 día;100;100;11
308;1.1.1.2.1.3.3.3;Piso 3;02-12-21;14-01-22;31 días;100;70,86;8
309;1.1.1.2.1.3.3.3.1;Muro;02-12-21;07-01-22;26 días;100;81,43;9
310;1.1.1.2.1.3.3.3.1.1;Sector 1;02-12-21;09-12-21;5 días;100;100;10
311;1.1.1.2.1.3.3.3.1.1.1;Enfierradura;02-12-21;06-12-21;3 días;100;100;11
312;1.1.1.2.1.3.3.3.1.1.2;Moldaje;06-12-21;07-12-21;2 días;100;100;11
313;1.1.1.2.1.3.3.3.1.1.3;Hormigon;07-12-21;07-12-21;1 día;100;100;11
314;1.1.1.2.1.3.3.3.1.1.4;Descimbre;09-12-21;09-12-21;1 día;100;100;11
315;1.1.1.2.1.3.3.3.1.2;Sector 2;07-12-21;14-12-21;5 días;100;100;10
316;1.1.1.2.1.3.3.3.1.2.1;Enfierradura;07-12-21;10-12-21;3 días;100;100;11
317;1.1.1.2.1.3.3.3.1.2.2;Moldaje;10-12-21;13-12-21;2 días;100;100;11
318;1.1.1.2.1.3.3.3.1.2.3;Hormigon;13-12-21;13-12-21;1 día;100;100;11
319;1.1.1.2.1.3.3.3.1.2.4;Descimbre;14-12-21;14-12-21;1 día;100;100;11
320;1.1.1.2.1.3.3.3.1.3;Sector 3;13-12-21;17-12-21;5 días;100;100;10
321;1.1.1.2.1.3.3.3.1.3.1;Enfierradura;13-12-21;15-12-21;3 días;100;100;11
322;1.1.1.2.1.3.3.3.1.3.2;Moldaje;15-12-21;16-12-21;2 días;100;100;11
323;1.1.1.2.1.3.3.3.1.3.3;Hormigon;16-12-21;16-12-21;1 día;100;100;11
324;1.1.1.2.1.3.3.3.1.3.4;Descimbre;17-12-21;17-12-21;1 día;100;100;11
325;1.1.1.2.1.3.3.3.1.4;Sector 4;16-12-21;22-12-21;5 días;100;100;10
326;1.1.1.2.1.3.3.3.1.4.1;Enfierradura Muro;16-12-21;20-12-21;3 días;100;100;11
327;1.1.1.2.1.3.3.3.1.4.2;Moldaje Muro;20-12-21;21-12-21;2 días;100;100;11
328;1.1.1.2.1.3.3.3.1.4.3;Hormigon Muro;21-12-21;21-12-21;1 día;100;100;11
329;1.1.1.2.1.3.3.3.1.4.4;Descimbre Muro;22-12-21;22-12-21;1 día;100;100;11
330;1.1.1.2.1.3.3.3.1.4.5;Enfierradura Escala;16-12-21;20-12-21;3 días;100;100;11
331;1.1.1.2.1.3.3.3.1.4.6;Moldaje Escala;17-12-21;20-12-21;2 días;100;100;11
332;1.1.1.2.1.3.3.3.1.4.7;Hormigon Escala;20-12-21;20-12-21;1 día;100;100;11
333;1.1.1.2.1.3.3.3.1.4.8;Descimbre Escala;21-12-21;21-12-21;1 día;100;100;11
334;1.1.1.2.1.3.3.3.1.5;Sector 5;21-12-21;27-12-21;5 días;100;50;10
335;1.1.1.2.1.3.3.3.1.5.1;Enfierradura Muro;21-12-21;23-12-21;3 días;100;100;11
336;1.1.1.2.1.3.3.3.1.5.2;Moldaje Muro;23-12-21;24-12-21;2 días;100;100;11
337;1.1.1.2.1.3.3.3.1.5.3;Hormigon Muro;24-12-21;24-12-21;1 día;100;100;11
338;1.1.1.2.1.3.3.3.1.5.4;Descimbre Muro;27-12-21;27-12-21;1 día;100;100;11
339;1.1.1.2.1.3.3.3.1.5.5;Enfierradura Escala;21-12-21;23-12-21;3 días;100;0;11
340;1.1.1.2.1.3.3.3.1.5.6;Moldaje Escala;23-12-21;24-12-21;2 días;100;0;11
341;1.1.1.2.1.3.3.3.1.5.7;Hormigon Escala;24-12-21;24-12-21;1 día;100;0;11
342;1.1.1.2.1.3.3.3.1.5.8;Descimbre Escala;27-12-21;27-12-21;1 día;100;0;11
343;1.1.1.2.1.3.3.3.1.6;Sector 6;24-12-21;30-12-21;5 días;100;100;10
344;1.1.1.2.1.3.3.3.1.6.1;Enfierradura;24-12-21;28-12-21;3 días;100;100;11
345;1.1.1.2.1.3.3.3.1.6.2;Moldaje;28-12-21;29-12-21;2 días;100;100;11
346;1.1.1.2.1.3.3.3.1.6.3;Hormigon;29-12-21;29-12-21;1 día;100;100;11
347;1.1.1.2.1.3.3.3.1.6.4;Descimbre;30-12-21;30-12-21;1 día;100;100;11
348;1.1.1.2.1.3.3.3.1.7;Sector 7;29-12-21;04-01-22;5 días;100;71,44;10
349;1.1.1.2.1.3.3.3.1.7.1;Enfierradura;29-12-21;31-12-21;3 días;100;100;11
350;1.1.1.2.1.3.3.3.1.7.2;Moldaje;31-12-21;03-01-22;2 días;100;100;11
351;1.1.1.2.1.3.3.3.1.7.3;Hormigon;03-01-22;03-01-22;1 día;100;0;11
352;1.1.1.2.1.3.3.3.1.7.4;Descimbre;04-01-22;04-01-22;1 día;100;0;11
353;1.1.1.2.1.3.3.3.1.8;Sector 8;03-01-22;07-01-22;5 días;100;42,85;10
354;1.1.1.2.1.3.3.3.1.8.1;Enfierradura;03-01-22;05-01-22;3 días;100;100;11
355;1.1.1.2.1.3.3.3.1.8.2;Moldaje;05-01-22;06-01-22;2 días;100;0;11
356;1.1.1.2.1.3.3.3.1.8.3;Hormigon;06-01-22;06-01-22;1 día;100;0;11
357;1.1.1.2.1.3.3.3.1.8.4;Descimbre;07-01-22;07-01-22;1 día;100;0;11
358;1.1.1.2.1.3.3.3.2;Losa ;09-12-21;14-01-22;27 días;100;49,71;9
359;1.1.1.2.1.3.3.3.2.1;Sector 1;09-12-21;16-12-21;6 días;100;100;10
360;1.1.1.2.1.3.3.3.2.1.1;Moldaje;09-12-21;13-12-21;3 días;100;100;11
361;1.1.1.2.1.3.3.3.2.1.2;Enfierradura;14-12-21;15-12-21;2 días;100;100;11
362;1.1.1.2.1.3.3.3.2.1.3;Hormigon;15-12-21;15-12-21;1 día;100;100;11
363;1.1.1.2.1.3.3.3.2.1.4;Descimbre;16-12-21;16-12-21;1 día;100;100;11
364;1.1.1.2.1.3.3.3.2.2;Sector 2;14-12-21;21-12-21;6 días;100;100;10
365;1.1.1.2.1.3.3.3.2.2.1;Moldaje;14-12-21;16-12-21;3 días;100;100;11
366;1.1.1.2.1.3.3.3.2.2.2;Enfierradura;17-12-21;20-12-21;2 días;100;100;11
367;1.1.1.2.1.3.3.3.2.2.3;Hormigon;20-12-21;20-12-21;1 día;100;100;11
368;1.1.1.2.1.3.3.3.2.2.4;Descimbre;21-12-21;21-12-21;1 día;100;100;11
369;1.1.1.2.1.3.3.3.2.3;Sector 3;17-12-21;24-12-21;6 días;100;48,58;10
370;1.1.1.2.1.3.3.3.2.3.1;Moldaje;17-12-21;21-12-21;3 días;100;100;11
371;1.1.1.2.1.3.3.3.2.3.2;Enfierradura;22-12-21;23-12-21;2 días;100;20;11
372;1.1.1.2.1.3.3.3.2.3.3;Hormigon;23-12-21;23-12-21;1 día;100;0;11
373;1.1.1.2.1.3.3.3.2.3.4;Descimbre;24-12-21;24-12-21;1 día;100;0;11
374;1.1.1.2.1.3.3.3.2.4;Sector 4;22-12-21;29-12-21;6 días;100;0;10
375;1.1.1.2.1.3.3.3.2.4.1;Moldaje;22-12-21;24-12-21;3 días;100;0;11
376;1.1.1.2.1.3.3.3.2.4.2;Enfierradura;27-12-21;28-12-21;2 días;100;0;11
377;1.1.1.2.1.3.3.3.2.4.3;Hormigon;28-12-21;28-12-21;1 día;100;0;11
378;1.1.1.2.1.3.3.3.2.4.4;Descimbre;29-12-21;29-12-21;1 día;100;0;11
379;1.1.1.2.1.3.3.3.2.5;Sector 5;07-01-22;14-01-22;6 días;100;0;10
380;1.1.1.2.1.3.3.3.2.5.1;Moldaje;07-01-22;11-01-22;3 días;100;0;11
381;1.1.1.2.1.3.3.3.2.5.2;Enfierradura;12-01-22;13-01-22;2 días;100;0;11
382;1.1.1.2.1.3.3.3.2.5.3;Hormigon;13-01-22;13-01-22;1 día;100;0;11
383;1.1.1.2.1.3.3.3.2.5.4;Descimbre;14-01-22;14-01-22;1 día;100;0;11
384;1.1.1.2.1.3.3.4;Piso 4;24-12-21;04-02-22;31 días;100;0,86;8
385;1.1.1.2.1.3.3.4.1;Muro;24-12-21;28-01-22;26 días;100;1,29;9
386;1.1.1.2.1.3.3.4.1.1;Sector 1;24-12-21;30-12-21;5 días;100;4,3;10
387;1.1.1.2.1.3.3.4.1.1.1;Enfierradura;24-12-21;28-12-21;3 días;100;10;11
388;1.1.1.2.1.3.3.4.1.1.2;Moldaje;28-12-21;29-12-21;2 días;100;0;11
389;1.1.1.2.1.3.3.4.1.1.3;Hormigon;29-12-21;29-12-21;1 día;100;0;11
390;1.1.1.2.1.3.3.4.1.1.4;Descimbre;30-12-21;30-12-21;1 día;100;0;11
391;1.1.1.2.1.3.3.4.1.2;Sector 2;29-12-21;04-01-22;5 días;100;4,3;10
392;1.1.1.2.1.3.3.4.1.2.1;Enfierradura;29-12-21;31-12-21;3 días;100;10;11
393;1.1.1.2.1.3.3.4.1.2.2;Moldaje;31-12-21;03-01-22;2 días;100;0;11
394;1.1.1.2.1.3.3.4.1.2.3;Hormigon;03-01-22;03-01-22;1 día;100;0;11
395;1.1.1.2.1.3.3.4.1.2.4;Descimbre;04-01-22;04-01-22;1 día;100;0;11
396;1.1.1.2.1.3.3.4.1.3;Sector 3;03-01-22;07-01-22;5 días;100;4,3;10
397;1.1.1.2.1.3.3.4.1.3.1;Enfierradura;03-01-22;05-01-22;3 días;100;10;11
398;1.1.1.2.1.3.3.4.1.3.2;Moldaje;05-01-22;06-01-22;2 días;100;0;11
399;1.1.1.2.1.3.3.4.1.3.3;Hormigon;06-01-22;06-01-22;1 día;100;0;11
400;1.1.1.2.1.3.3.4.1.3.4;Descimbre;07-01-22;07-01-22;1 día;100;0;11
401;1.1.1.2.1.3.3.4.1.4;Sector 4;06-01-22;12-01-22;5 días;100;0;10
402;1.1.1.2.1.3.3.4.1.4.1;Enfierradura Muro;06-01-22;10-01-22;3 días;100;0;11
403;1.1.1.2.1.3.3.4.1.4.2;Moldaje Muro;10-01-22;11-01-22;2 días;100;0;11
404;1.1.1.2.1.3.3.4.1.4.3;Hormigon Muro;11-01-22;11-01-22;1 día;100;0;11
405;1.1.1.2.1.3.3.4.1.4.4;Descimbre Muro;12-01-22;12-01-22;1 día;100;0;11
406;1.1.1.2.1.3.3.4.1.4.5;Enfierradura Escala;06-01-22;10-01-22;3 días;100;0;11
407;1.1.1.2.1.3.3.4.1.4.6;Moldaje Escala;10-01-22;11-01-22;2 días;100;0;11
408;1.1.1.2.1.3.3.4.1.4.7;Hormigon Escala;11-01-22;11-01-22;1 día;100;0;11
409;1.1.1.2.1.3.3.4.1.4.8;Descimbre Escala;12-01-22;12-01-22;1 día;100;0;11
410;1.1.1.2.1.3.3.4.1.5;Sector 5;11-01-22;17-01-22;5 días;100;0;10
411;1.1.1.2.1.3.3.4.1.5.1;Enfierradura Muro;11-01-22;13-01-22;3 días;100;0;11
412;1.1.1.2.1.3.3.4.1.5.2;Moldaje Muro;13-01-22;14-01-22;2 días;100;0;11
413;1.1.1.2.1.3.3.4.1.5.3;Hormigon Muro;14-01-22;14-01-22;1 día;100;0;11
414;1.1.1.2.1.3.3.4.1.5.4;Descimbre Muro;17-01-22;17-01-22;1 día;100;0;11
415;1.1.1.2.1.3.3.4.1.5.5;Enfierradura Escala;11-01-22;13-01-22;3 días;100;0;11
416;1.1.1.2.1.3.3.4.1.5.6;Moldaje Escala;13-01-22;14-01-22;2 días;100;0;11
417;1.1.1.2.1.3.3.4.1.5.7;Hormigon Escala;14-01-22;14-01-22;1 día;100;0;11
418;1.1.1.2.1.3.3.4.1.5.8;Descimbre Escala;17-01-22;17-01-22;1 día;100;0;11
419;1.1.1.2.1.3.3.4.1.6;Sector 6;14-01-22;20-01-22;5 días;100;0;10
420;1.1.1.2.1.3.3.4.1.6.1;Enfierradura;14-01-22;18-01-22;3 días;100;0;11
421;1.1.1.2.1.3.3.4.1.6.2;Moldaje;18-01-22;19-01-22;2 días;100;0;11
422;1.1.1.2.1.3.3.4.1.6.3;Hormigon;19-01-22;19-01-22;1 día;100;0;11
423;1.1.1.2.1.3.3.4.1.6.4;Descimbre;20-01-22;20-01-22;1 día;100;0;11
424;1.1.1.2.1.3.3.4.1.7;Sector 7;19-01-22;25-01-22;5 días;100;0;10
425;1.1.1.2.1.3.3.4.1.7.1;Enfierradura;19-01-22;21-01-22;3 días;100;0;11
426;1.1.1.2.1.3.3.4.1.7.2;Moldaje;21-01-22;24-01-22;2 días;100;0;11
427;1.1.1.2.1.3.3.4.1.7.3;Hormigon;24-01-22;24-01-22;1 día;100;0;11
428;1.1.1.2.1.3.3.4.1.7.4;Descimbre;25-01-22;25-01-22;1 día;100;0;11
429;1.1.1.2.1.3.3.4.1.8;Sector 8;24-01-22;28-01-22;5 días;100;0;10
430;1.1.1.2.1.3.3.4.1.8.1;Enfierradura;24-01-22;26-01-22;3 días;100;0;11
431;1.1.1.2.1.3.3.4.1.8.2;Moldaje;26-01-22;27-01-22;2 días;100;0;11
432;1.1.1.2.1.3.3.4.1.8.3;Hormigon;27-01-22;27-01-22;1 día;100;0;11
433;1.1.1.2.1.3.3.4.1.8.4;Descimbre;28-01-22;28-01-22;1 día;100;0;11
434;1.1.1.2.1.3.3.4.2;Losa ;30-12-21;04-02-22;27 días;100;0;9
435;1.1.1.2.1.3.3.4.2.1;Sector 1;30-12-21;06-01-22;6 días;100;0;10
436;1.1.1.2.1.3.3.4.2.1.1;Moldaje;30-12-21;03-01-22;3 días;100;0;11
437;1.1.1.2.1.3.3.4.2.1.2;Enfierradura;04-01-22;05-01-22;2 días;100;0;11
438;1.1.1.2.1.3.3.4.2.1.3;Hormigon;05-01-22;05-01-22;1 día;100;0;11
439;1.1.1.2.1.3.3.4.2.1.4;Descimbre;06-01-22;06-01-22;1 día;100;0;11
440;1.1.1.2.1.3.3.4.2.2;Sector 2;04-01-22;11-01-22;6 días;100;0;10
441;1.1.1.2.1.3.3.4.2.2.1;Moldaje;04-01-22;06-01-22;3 días;100;0;11
442;1.1.1.2.1.3.3.4.2.2.2;Enfierradura;07-01-22;10-01-22;2 días;100;0;11
443;1.1.1.2.1.3.3.4.2.2.3;Hormigon;10-01-22;10-01-22;1 día;100;0;11
444;1.1.1.2.1.3.3.4.2.2.4;Descimbre;11-01-22;11-01-22;1 día;100;0;11
445;1.1.1.2.1.3.3.4.2.3;Sector 3;07-01-22;14-01-22;6 días;100;0;10
446;1.1.1.2.1.3.3.4.2.3.1;Moldaje;07-01-22;11-01-22;3 días;100;0;11
447;1.1.1.2.1.3.3.4.2.3.2;Enfierradura;12-01-22;13-01-22;2 días;100;0;11
448;1.1.1.2.1.3.3.4.2.3.3;Hormigon;13-01-22;13-01-22;1 día;100;0;11
449;1.1.1.2.1.3.3.4.2.3.4;Descimbre;14-01-22;14-01-22;1 día;100;0;11
450;1.1.1.2.1.3.3.4.2.4;Sector 4;12-01-22;19-01-22;6 días;100;0;10
451;1.1.1.2.1.3.3.4.2.4.1;Moldaje;12-01-22;14-01-22;3 días;100;0;11
452;1.1.1.2.1.3.3.4.2.4.2;Enfierradura;17-01-22;18-01-22;2 días;100;0;11
453;1.1.1.2.1.3.3.4.2.4.3;Hormigon;18-01-22;18-01-22;1 día;100;0;11
454;1.1.1.2.1.3.3.4.2.4.4;Descimbre;19-01-22;19-01-22;1 día;100;0;11
455;1.1.1.2.1.3.3.4.2.5;Sector 5;28-01-22;04-02-22;6 días;100;0;10
456;1.1.1.2.1.3.3.4.2.5.1;Moldaje;28-01-22;01-02-22;3 días;100;0;11
457;1.1.1.2.1.3.3.4.2.5.2;Enfierradura;02-02-22;03-02-22;2 días;100;0;11
458;1.1.1.2.1.3.3.4.2.5.3;Hormigon;03-02-22;03-02-22;1 día;100;0;11
459;1.1.1.2.1.3.3.4.2.5.4;Descimbre;04-02-22;04-02-22;1 día;100;0;11
460;1.1.1.2.1.3.3.5;Piso 5;14-01-22;25-02-22;31 días;73,33;0;8
461;1.1.1.2.1.3.3.5.1;Muro;14-01-22;17-02-22;25 días;74,29;0;9
462;1.1.1.2.1.3.3.5.1.1;Sector 1;14-01-22;19-01-22;4 días;100;0;10
463;1.1.1.2.1.3.3.5.1.1.1;Enfierradura;14-01-22;18-01-22;3 días;100;0;11
464;1.1.1.2.1.3.3.5.1.1.2;Moldaje;17-01-22;18-01-22;2 días;100;0;11
465;1.1.1.2.1.3.3.5.1.1.3;Hormigon;18-01-22;18-01-22;1 día;100;0;11
466;1.1.1.2.1.3.3.5.1.1.4;Descimbre;19-01-22;19-01-22;1 día;100;0;11
467;1.1.1.2.1.3.3.5.1.2;Sector 2;19-01-22;24-01-22;4 días;100;0;10
468;1.1.1.2.1.3.3.5.1.2.1;Enfierradura;19-01-22;21-01-22;3 días;100;0;11
469;1.1.1.2.1.3.3.5.1.2.2;Moldaje;20-01-22;21-01-22;2 días;100;0;11
470;1.1.1.2.1.3.3.5.1.2.3;Hormigon;21-01-22;21-01-22;1 día;100;0;11
471;1.1.1.2.1.3.3.5.1.2.4;Descimbre;24-01-22;24-01-22;1 día;100;0;11
472;1.1.1.2.1.3.3.5.1.3;Sector 3;24-01-22;27-01-22;4 días;100;0;10
473;1.1.1.2.1.3.3.5.1.3.1;Enfierradura;24-01-22;26-01-22;3 días;100;0;11
474;1.1.1.2.1.3.3.5.1.3.2;Moldaje;25-01-22;26-01-22;2 días;100;0;11
475;1.1.1.2.1.3.3.5.1.3.3;Hormigon;26-01-22;26-01-22;1 día;100;0;11
476;1.1.1.2.1.3.3.5.1.3.4;Descimbre;27-01-22;27-01-22;1 día;100;0;11
477;1.1.1.2.1.3.3.5.1.4;Sector 4;27-01-22;01-02-22;4 días;100;0;10
478;1.1.1.2.1.3.3.5.1.4.1;Enfierradura Muro;27-01-22;31-01-22;3 días;100;0;11
479;1.1.1.2.1.3.3.5.1.4.2;Moldaje Muro;28-01-22;31-01-22;2 días;100;0;11
480;1.1.1.2.1.3.3.5.1.4.3;Hormigon Muro;31-01-22;31-01-22;1 día;100;0;11
481;1.1.1.2.1.3.3.5.1.4.4;Descimbre Muro;01-02-22;01-02-22;1 día;100;0;11
482;1.1.1.2.1.3.3.5.1.4.5;Enfierradura Escala;27-01-22;31-01-22;3 días;100;0;11
483;1.1.1.2.1.3.3.5.1.4.6;Moldaje Escala;28-01-22;31-01-22;2 días;100;0;11
484;1.1.1.2.1.3.3.5.1.4.7;Hormigon Escala;31-01-22;31-01-22;1 día;100;0;11
485;1.1.1.2.1.3.3.5.1.4.8;Descimbre Escala;01-02-22;01-02-22;1 día;100;0;11
486;1.1.1.2.1.3.3.5.1.5;Sector 5;01-02-22;04-02-22;4 días;100;0;10
487;1.1.1.2.1.3.3.5.1.5.1;Enfierradura Muro;01-02-22;03-02-22;3 días;100;0;11
488;1.1.1.2.1.3.3.5.1.5.2;Moldaje Muro;02-02-22;03-02-22;2 días;100;0;11
489;1.1.1.2.1.3.3.5.1.5.3;Hormigon Muro;03-02-22;03-02-22;1 día;100;0;11
490;1.1.1.2.1.3.3.5.1.5.4;Descimbre Muro;04-02-22;04-02-22;1 día;100;0;11
491;1.1.1.2.1.3.3.5.1.5.5;Enfierradura Escala;01-02-22;03-02-22;3 días;100;0;11
492;1.1.1.2.1.3.3.5.1.5.6;Moldaje Escala;02-02-22;03-02-22;2 días;100;0;11
493;1.1.1.2.1.3.3.5.1.5.7;Hormigon Escala;03-02-22;03-02-22;1 día;100;0;11
494;1.1.1.2.1.3.3.5.1.5.8;Descimbre Escala;04-02-22;04-02-22;1 día;100;0;11
495;1.1.1.2.1.3.3.5.1.6;Sector 6;04-02-22;09-02-22;4 días;42,87;0;10
496;1.1.1.2.1.3.3.5.1.6.1;Enfierradura;04-02-22;08-02-22;3 días;66,67;0;11
497;1.1.1.2.1.3.3.5.1.6.2;Moldaje;07-02-22;08-02-22;2 días;50;0;11
498;1.1.1.2.1.3.3.5.1.6.3;Hormigon;08-02-22;08-02-22;1 día;0;0;11
499;1.1.1.2.1.3.3.5.1.6.4;Descimbre;09-02-22;09-02-22;1 día;0;0;11
500;1.1.1.2.1.3.3.5.1.7;Sector 7;09-02-22;14-02-22;4 días;0;0;10
501;1.1.1.2.1.3.3.5.1.7.1;Enfierradura;09-02-22;11-02-22;3 días;0;0;11
502;1.1.1.2.1.3.3.5.1.7.2;Moldaje;10-02-22;11-02-22;2 días;0;0;11
503;1.1.1.2.1.3.3.5.1.7.3;Hormigon;11-02-22;11-02-22;1 día;0;0;11
504;1.1.1.2.1.3.3.5.1.7.4;Descimbre;14-02-22;14-02-22;1 día;0;0;11
505;1.1.1.2.1.3.3.5.1.8;Sector 8;14-02-22;17-02-22;4 días;0;0;10
506;1.1.1.2.1.3.3.5.1.8.1;Enfierradura;14-02-22;16-02-22;3 días;0;0;11
507;1.1.1.2.1.3.3.5.1.8.2;Moldaje;15-02-22;16-02-22;2 días;0;0;11
508;1.1.1.2.1.3.3.5.1.8.3;Hormigon;16-02-22;16-02-22;1 día;0;0;11
509;1.1.1.2.1.3.3.5.1.8.4;Descimbre;17-02-22;17-02-22;1 día;0;0;11
510;1.1.1.2.1.3.3.5.2;Losa ;20-01-22;25-02-22;27 días;71,43;0;9
511;1.1.1.2.1.3.3.5.2.1;Sector 1;20-01-22;27-01-22;6 días;100;0;10
512;1.1.1.2.1.3.3.5.2.1.1;Moldaje;20-01-22;24-01-22;3 días;100;0;11
513;1.1.1.2.1.3.3.5.2.1.2;Enfierradura;25-01-22;26-01-22;2 días;100;0;11
514;1.1.1.2.1.3.3.5.2.1.3;Hormigon;26-01-22;26-01-22;1 día;100;0;11
515;1.1.1.2.1.3.3.5.2.1.4;Descimbre;27-01-22;27-01-22;1 día;100;0;11
516;1.1.1.2.1.3.3.5.2.2;Sector 2;25-01-22;01-02-22;6 días;100;0;10
517;1.1.1.2.1.3.3.5.2.2.1;Moldaje;25-01-22;27-01-22;3 días;100;0;11
518;1.1.1.2.1.3.3.5.2.2.2;Enfierradura;28-01-22;31-01-22;2 días;100;0;11
519;1.1.1.2.1.3.3.5.2.2.3;Hormigon;31-01-22;31-01-22;1 día;100;0;11
520;1.1.1.2.1.3.3.5.2.2.4;Descimbre;01-02-22;01-02-22;1 día;100;0;11
521;1.1.1.2.1.3.3.5.2.3;Sector 3;28-01-22;04-02-22;6 días;100;0;10
522;1.1.1.2.1.3.3.5.2.3.1;Moldaje;28-01-22;01-02-22;3 días;100;0;11
523;1.1.1.2.1.3.3.5.2.3.2;Enfierradura;02-02-22;03-02-22;2 días;100;0;11
524;1.1.1.2.1.3.3.5.2.3.3;Hormigon;03-02-22;03-02-22;1 día;100;0;11
525;1.1.1.2.1.3.3.5.2.3.4;Descimbre;04-02-22;04-02-22;1 día;100;0;11
526;1.1.1.2.1.3.3.5.2.4;Sector 4;02-02-22;09-02-22;6 días;57,13;0;10
527;1.1.1.2.1.3.3.5.2.4.1;Moldaje;02-02-22;04-02-22;3 días;100;0;11
528;1.1.1.2.1.3.3.5.2.4.2;Enfierradura;07-02-22;08-02-22;2 días;50;0;11
529;1.1.1.2.1.3.3.5.2.4.3;Hormigon;08-02-22;08-02-22;1 día;0;0;11
530;1.1.1.2.1.3.3.5.2.4.4;Descimbre;09-02-22;09-02-22;1 día;0;0;11
